model_id,model_name,brand_id
337,Elite i20 Asta 1.2 (O) [2016],3
338,Innova 2.5 G 8 STR BS-III,4
339,Superb L&K TDI AT,7
340,Alto 800 Lxi CNG,2
341,Figo Duratec Petrol Titanium 1.2,12
342,DZire VXi AMT,2
343,Celerio ZXi (O) AMT [2019-2020],2
344,Grand i10 Sportz U2 1.2 CRDi,3
345,E-Class E250 Elegance,5
346,3-Series 330i M Sport Edition,6
347,City SV,1
348,S-Class Maybach S 560,5
349,XUV500 W8 1.99 [2016-2017],14
350,CLA 200 D Urban Sport,5
351,Xcent SX 1.1 CRDi,3
352,Wagon R LXi CNG,2
353,Kodiaq Style 2.0 TDI 4x4 AT,7
354,Hexa XTA 4x2 7 STR,10
355,Ecosport Titanium 1.5L TDCi,12
356,CLA 200 CDI Sport,5
357,Innova 2.4 ZX AT 7 STR,4
358,Countryman Cooper D,25
359,DZire ZDi Plus AMT,2
360,Scorpio S3 2WD 7 STR,14
361,Manza Aqua Safire BS-IV,10
362,XL6 Alpha MT Petrol,2
363,Aspire Titanium1.5 TDCi,12
364,718 Cayman [2017-2020],17
365,Verna 1.6 VTVT S,3
366,Eon 1.0 Kappa Magna AirBag,3
367,Grand Vitara 2015 2.0 AT,2
368,GLE 300d 4MATIC LWB,5
369,TUV300 T8 AMT mHAWK100,14
370,City V Diesel,1
371,S-Class 300,5
372,GLC 220d 4MATIC Progressive,5
373,3-Series 320d Sport Line,6
374,City VX CVT Petrol,1
375,488 GTB,26
376,Tiguan Highline TDI,11
377,Evoque Pure SD4,19
378,Zen LXi BS-II,2
379,GLE 43 4MATIC [2017-2019],5
380,Nano Base,10
381,Bolero SLX 2WD,14
382,E-Class E 220 d Avantgarde,5
383,S-Cross Zeta 1.3,2
384,Pajero 2.5 MT,27
385,Swift ZXi,2
386,Q3 35 TDI Premium,13
387,Vento Highline Plus 1.2 (P) AT 16 Alloy,11
388,Endeavour Titanium 3.2 4x4 AT,12
389,Tiago Revotron XT [2016-2019],10
390,Go D,28
391,Seltos HTK Plus 1.5 [2019-2020],18
392,C-Class C 250 CDI BlueEFFICIENCY,5
393,Huracan LP 610-4,29
394,GLA 200 d Sport,5
395,C-Class C 220d Progressive [2018-2019],5
396,Elite i20 Sportz 1.2 MT,3
397,Estilo VXi BS-IV,2
398,Eon Era +,3
399,Alto VXi (O) [2014-2019],2
400,7-Series 730Ld M Sport,6
401,XUV500 W7 [2018-2020],14
402,Endeavour 3.0L 4x4 AT,12
403,Tucson 2WD AT GLS Diesel,3
404,Etios V,4
405,Fortuner 3.0 4x2 MT,4
406,Ciaz Alpha 1.4 MT,2
407,S-Cross Alpha 1.6,2
408,Polo Highline1.0L (P),11
409,Amaze 1.2 S i-VTEC,1
410,A4 35 TDI Technology,13
411,Ecosport Trend 1.5 Ti-VCT,12
412,GLS 400d 4MATIC,5
413,Harrier XZA Plus Dark Edition,10
414,5-Series 520d Luxury Line,6
415,GL-Class 350 CDI,5
416,Nexon XT Diesel [2017-2019],10
417,Scorpio VLX 4WD BS-III,14
418,Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,15
419,Swift DZire VXi,2
420,Redigo S 1.0 AMT [2018-2019],28
421,Venue SX Plus 1.0 Turbo DCT,3
422,Swift LXi Special Edition,2
423,TUV300 T8,14
424,Innova 2.5 G 7 STR BS-IV,4
425,XUV500 W6,14
426,Elite i20 Asta 1.4 CRDI [2016-2017],3
427,Vento Highline Petrol AT,11
428,DZire VDi AMT,2
429,Sonet GTX Plus 1.0 iMT [2020-2021],18
430,S-Class 500L,5
431,E-Class E 200 Exclusive [2019-2019],5
432,Santro Sportz,3
433,Range Rover 3.0 V6 Diesel Vogue,19
434,Cooper D 3 Door,25
435,Endeavour Titanium Plus 3.2 4x4 AT,12
436,Duster 110 PS RXZ 4X2 AMT Diesel,9
437,Vitara Brezza VDi AGS,2
438,Seltos HTX 1.5 [2020-2021],18
439,Eeco 5 STR WITH A/C+HTR [2019-2020],2
440,S-Cross Alpha 1.3,2
441,Elite i20 Sportz 1.4 CRDI,3
442,Fluence 1.5 E4,9
443,Grand i10 Sports Edition 1.2L Kappa VTVT,3
444,Kodiaq L&K 2.0 TDI 4x4 AT,7
445,A3 35 TDI Premium + Sunroof,13
446,Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,3
447,Fortuner 2.8 4x2 MT [2016-2020],4
448,A4 30 TFSI Technology Pack,13
449,Jazz V Petrol,1
450,GLC 200 Progressive,5
451,A4 2.0 TDI Sline,13
452,Celerio ZXi [2017-2019],2
453,Thar LX 4-STR Hard Top Diesel MT,14
454,Eon Magna [2011-2012],3
455,Vitara Brezza ZDi+ Dual Tone [2017-2018],2
456,XUV700 AX 7 Diesel AT 7 STR,14
457,Wagon R LXi (O) 1.0 CNG [2019-2020],2
458,Elite i20 Sportz 1.2 IVT,3
459,City 1.5 V MT,1
460,Fortuner 4x2 AT,4
461,Verna Fluidic 1.6 CRDi,3
462,i20 Active 1.2 S,3
463,Vento Trendline Diesel,11
464,XL6 Zeta MT Petrol,2
465,Seltos GTX Plus 1.4 [2020-2021],18
466,Alto VXi AMT,2
467,Tigor EV XZ Plus,10
468,Q7 Technology 55 TFSI,13
469,XUV500 W10 AT,14
470,Polo Comfortline 1.2L (D),11
471,X1 sDrive20i xLine,6
472,City E Diesel,1
473,Micra XV CVT [2016-2017],8
474,Venue SX 1.4 CRDi,3
475,Tiguan AllSpace 2.0 TSI,11
476,Creta SX 1.6 AT CRDi,3
477,A-Class A 200d,5
478,Creta EX 1.4 CRDi,3
479,S-Class S 350 CDI,5
480,Verna SX Plus 1.6 CRDi AT,3
481,Alcazar Signature (O) 6 STR 2.0 Petrol AT,3
482,Amaze 1.2 V CVT Petrol [2018-2020],1
483,Ertiga VXI CNG,2
484,Amaze 1.2 S MT Petrol [2018-2020],1
485,E-Class E 200,5
486,Evoque SE,19
487,Q5 2.0 TDI quattro Premium Plus,13
488,XUV300 1.5 W6 [2019-2020],14
489,XF Prestige Diesel CBU,22
490,C-Class C200 Progressive,5
491,Compass Model S (O) Diesel 4x4 AT,16
492,Etios Liva GD,4
493,i10 Asta 1.2 AT with Sunroof,3
494,Scorpio VLX 2WD Airbag BS-IV,14
495,Range Rover Sport SDV6 HSE,19
496,City ZX CVT Petrol [2017-2019],1
497,A4 1.8 TFSI Multitronic Premium Plus,13
498,Cruze LTZ AT,30
499,Creta SX 1.6 CRDi,3
500,Ertiga VDI SHVS,2
501,Sonata 2.0 CRDi,3
502,Innova 2.8 ZX AT 7 STR [2016-2020],4
503,Amaze 1.5 VX CVT Diesel,1
504,Innova ZX 2.7 AT 7 STR,4
505,Aspire Titanium 1.2 Ti-VCT,12
506,Ciaz Delta 1.5 Diesel,2
507,Celerio VXi,2
508,Urban Cruiser Premium Grade AT,4
509,Creta E Plus 1.4 CRDI,3
510,A3 35 TDI Premium Plus,13
511,XUV500 W8 AWD [2015-2017],14
512,i10 1.1L iRDE ERA Special Edition,3
513,Verna Fluidic 1.6 VTVT SX AT,3
514,Bolero Power Plus ZLX [2016-2019],14
515,A4 2.0 TDI (177bhp) Premium,13
516,A3 35 TDI Premium,13
517,Grand i10 Asta 1.2 Kappa VTVT,3
518,A3 40 TFSI Premium Plus + sunroof,13
519,Brio E MT,1
520,C-Class C 220 CDI Avantgarde,5
521,E-Class E 350 d Exclusive [2017-2019],5
522,XF R 5.0 V8 Supercharged,22
523,Pajero SFX 2.8,27
524,Etios G,4
525,Marazzo M6 Plus 8 STR,14
526,A6 3.0 TDI quattro Premium,13
527,Innova 2.5 VX 7 STR BS-III,4
528,Fortuner 2.8 4x4 AT [2016-2020],4
529,Go T (O),28
530,Cruze LTZ,30
531,Creta SX 1.4 Turbo 7 DCT,3
532,V40 D3 R-Design,20
533,Cooper S,25
534,TUV300 T6 Plus,14
535,Creta 1.6 SX,3
536,DZire ZXi,2
537,Tiago Revotron XZ,10
538,C-Class 220 CDI AT,5
539,Gloster Sharp 6 STR 2.0 Twin Turbo 4WD,15
540,E-Class E220 CDI Blue Efficiency,5
541,Vitara Brezza ZDi,2
542,A6 2.0 TDI Premium Plus,13
543,City VX CVT,1
544,Santro Magna [2018-2020],3
545,Scorpio S11 2WD 7 STR,14
546,Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],3
547,City ZX Diesel,1
548,E-Class E250 CDI Avantgarde,5
549,Sunny XV Diesel,8
550,Ecosport Titanium 1.5L Ti-VCT,12
551,A4 30 TFSI Premium Plus,13
552,Creta SX 1.6 (O) Petrol,3
553,718 Boxster,17
554,Creta SX 1.5 Diesel [2020-2022],3
555,XUV500 W6 2013,14
556,GLC 220d 4MATIC Progressive [2019-2021],5
557,Wagon R VXI+ AMT,2
558,Range Rover Sport SDV6 SE,19
559,Swift ZXi AMT [2018-2019],2
560,Creta 1.6 SX (O),3
561,Discovery Sport HSE Luxury,19
562,i20 Active 1.2 SX,3
563,Safari XZ Plus,10
564,Octavia 1.8 TSI Ambition Plus AT,7
565,Creta SX 1.6 CRDI,3
566,Vitara Brezza VDi (O) [2016-2018],2
567,Eeco 5 STR WITH HTR CNG [2018-2019],2
568,i20 Sportz 1.2 (O),3
569,XJ 3.0 Petrol,22
570,7-Series 730Ld DPE,6
571,Tucson GL 2WD AT Diesel,3
572,i20 Sportz 1.4 CRDI,3
573,Evoque Dynamic SD4,19
574,Ertiga Vxi CNG,2
575,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],3
576,Corolla Altis 1.8 G AT,4
577,City 1.5 EXi,1
578,Swift LXi,2
579,Ciaz Delta 1.4 MT,2
580,Octavia 1.8 TSI L&K,7
581,Discovery Sport SE R-Dynamic Petrol,19
582,Kwid RXT [2015-2019],9
583,Etios GD,4
584,Panamera 3.0 Diesel,17
585,A-Class Sedan 200d,5
586,Elite i20 Magna 1.4 CRDI [2016-2017],3
587,S-Class 350,5
588,Estilo VXi,2
589,Elite i20 Magna Executive 1.2,3
590,Scorpio LX BS-III,14
591,Rexton RX7,31
592,X5 3.0d,6
593,Amaze 1.2 S i-VTEC Opt,1
594,Q7 45 TDI Technology Pack,13
595,Elantra 1.6 SX AT,3
596,A4 Premium Plus 40 TFSI,13
597,Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],3
598,Rapid Elegance 1.6 MPI AT,7
599,Q7 35 TDI Premium Plus + Sunroof,13
600,5-Series 520d Sport Line,6
601,Duster 85 PS RxL Diesel,9
602,6-Series GT 630d Luxury Line [2018-2019],6
603,Commuter HiAce 3.0 L,4
604,Compass Limited 2.0 Diesel [2017-2020],16
605,Baleno Alpha (O) 1.2,2
606,Swift DZire ZXI,2
607,Polo Trendline 1.0L (P),11
608,Celerio LXi,2
609,Corolla Altis GL,4
610,Ciaz ZDi SHVS,2
611,Wagon R LXi LPG,2
612,Scorpio S2,14
613,City 1.5 V AT,1
614,Compass Limited 1.4 Petrol AT [2017-2020],16
615,Ciaz ZXI+,2
616,Corolla Altis 1.8 VL AT,4
617,A6 Technology 45 TFSI,13
618,XC60 Inscription [2017-2020],20
619,Jetta 1.9L TDI,11
620,Scorpio S6 Plus 1.99 [2016-2017],14
621,Endeavour Titanium 2.0 4x2 AT,12
622,Xcent SX CRDi,3
623,Rexton RX6,31
624,City VX,1
625,X3 xDrive-20d xLine,6
626,Redigo T(O) 1.0 [2017-2019],28
627,i10 Magna 1.1 LPG,3
628,i20 Asta 1.4 AT with AVN,3
629,Creta SX Plus 1.6 CRDI Dual Tone,3
630,3-Series 320d Prestige,6
631,Magnite XL,8
632,Celerio ZXi [2019-2020],2
633,Seltos HTK Plus 1.5 Diesel,18
634,Santro Era,3
635,Range Rover Sport SDV6 S,19
636,Ignis Zeta 1.2 AMT,2
637,Safari 2.2 VX 4x2,10
638,Punto Active 1.3,24
639,Q3 30 TDI Premium FWD,13
640,C-Class C 300d AMG line,5
641,GLA 200 Sport,5
642,City VX CVT Petrol [2017-2019],1
643,S-Cross Sigma 1.3,2
644,XUV700 AX 7 Diesel AT AWD Luxury Pack 7 STR,14
645,A7 Sportback 3.0 TDI quattro,13
646,Swift DZire LDI,2
647,Venue SX (O) 1.0 Turbo iMT,3
648,C-Class 220 CDI Sport,5
649,Swift DZire ZDI AMT,2
650,Vento Highline Diesel,11
651,City V Petrol,1
652,Ghost 6.5,32
653,Q3 35 TDI Technology with Navigation,13
654,Polo Comfortline 1.5L (D),11
655,Nexon XM,10
656,Verna 1.6 CRDI SX,3
657,Discovery Sport SE R-Dynamic,19
658,Teana 250XL,8
659,City S Petrol,1
660,Figo Trend 1.5L TDCi [2015-2016],12
661,Glanza V,4
662,E-Class E 200 Avantgarde,5
663,Alcazar Prestige 7 STR 1.5 Diesel,3
664,Santa Fe 2WD AT [2014-2017],3
665,Wagon R VXi 1.2,2
666,Innova 2.4 ZX 7 STR [2016-2020],4
667,NX 300h Luxury [2017-2020],33
668,Innova ZX 2.4 AT 7 STR,4
669,Elite i20 Sportz 1.2 [2016-2017],3
670,Duster 110 PS RxL,9
671,Taigun Highline 1.0 TSI AT,11
672,i20 Active 1.4 S,3
673,Hector Plus Sharp 1.5 DCT Petrol,15
674,3-Series 320d Sport Line [2014-2016],6
675,Discovery HSE,19
676,Santa Fe 4 WD (AT),3
677,Q5 2.0 TDI quattro Premium,13
678,Harrier XZ,10
679,Thar CRDe 4x4 Non AC,14
680,Vento Highline Petrol,11
681,A3 35 TFSI Premium Plus,13
682,Mustang GT Fastback 5.0L v8,12
683,DZire ZXi Plus AMT,2
684,Rapid Style 1.6 MPI AT,7
685,Superb Elegance 1.8 TSI AT,7
686,Xylo D4,14
687,LX SUV Petrol,33
688,S60 Kinetic D4,20
689,Macan S [2019-2020],17
690,Macan Base [2019-2020],17
691,Baleno Zeta 1.2 AT,2
692,Eeco 5 STR [2014-2019],2
693,Ertiga LXI,2
694,3-Series 320d Highline Sedan,6
695,S-Class 280 AT,5
696,A3 35 TDI Premium Plus + Sunroof,13
697,Compass Sport 1.4 Petrol,16
698,i20 Asta 1.2,3
699,Compass Longitude (O) 2.0 Diesel [2017-2020],16
700,Swift DZire VXI AT,2
701,Discovery 3.0 TDV6 HSE,19
702,i20 Magna (O) 1.2,3
703,5-Series 520d Modern Line,6
704,Q3 35 TDI Technology,13
705,Seltos GTX Plus 1.4 DCT,18
706,Elantra SX (O) 2.0 AT,3
707,Accent Executive,3
708,Q5 35 TDI Premium Plus,13
709,S-Presso VXi Plus,2
710,ES 300h Exquisite [2020-2021],33
711,Swift DZire LXI (O),2
712,Civic 1.8V MT,1
713,Q3 35 TDI quattro Technology,13
714,S-Presso VXi (O),2
715,Countryman Cooper S JCW Inspired,25
716,Innova 2.7 ZX AT 7 STR,4
717,Amaze 1.5 VX i-DTEC,1
